Tabela de Áreas do Conhecimento
1.00.00.00-3  Ciências Exatas e da Terra
1.01.00.00-8  Matemática
1.01.01.00-4  Álgebra
1.01.01.01-2  Conjuntos
1.01.01.02-0  Lógica Matemática
1.01.01.03-9  Teoria dos Números
1.01.04.00-3  Matemática Aplicada
1.01.04.01-1  Física Matemática
1.01.04.02-0  Análise Numérica
1.01.04.03-8  Matemática Discreta e Combinatoria
1.02.00.00-2  Probabilidade e Estatística
1.02.01.00-9  Probabilidade
1.02.01.01-7  Teoria Geral e Fundamentos da Probabilidade
1.02.01.02-5  Teoria Geral e Processos Estocásticos
1.02.02.00-5  Estatística
1.02.02.01-3  Fundamentos da Estatística
1.02.02.02-1  Inferência Paramétrica
1.02.02.03-0  Inferência Nao-Paramétrica
1.02.02.04-8  Inferência em Processos Estocásticos
1.02.02.05-6  Análise Multivariada
1.02.02.06-4  Regressão e Correlação
1.02.02.07-2  Planejamento de Experimentos
1.02.02.08-0  Análise de Dados
1.02.03.00-1  Probabilidade e Estatística Aplicadas
1.03.00.00-7  Ciência da Computação
1.03.01.00-3  Teoria da Computação
1.03.01.01-1  Computabilidade e Modelos de Computação
1.03.01.02-0  Linguagem Formais e Automatos
1.03.01.03-8  Análise de Algoritmos e Complexidade de Computação
1.03.01.04-6  Lógicas e Semântica de Programas
1.03.02.00-0  Matemática da Computação
1.03.02.01-8  Matemática Simbólica
1.03.02.02-6  Modelos Analíticos e de Simulação
1.03.03.00-6  Metodologia e Técnicas da Computação
1.03.03.01-4  Linguagens de Programação
1.03.03.02-2  Engenharia de Software
1.03.03.03-0  Banco de Dados
1.03.03.04-9  Sistemas de Informação
1.03.03.05-7  Processamento Gráfico (Graphics)
1.03.04.00-2  Sistemas de Computação
1.03.04.01-0  Hardware
1.03.04.02-9  Arquitetura de Sistemas de Computação
1.03.04.03-7  Software Básico
1.03.04.04-5  Teleinformática
